"State, institutional control, and institution",Total,Federally financed,All R&D expenditures passed through,Unnamed: 4,To educational subrecipients,Unnamed: 6,To business,Unnamed: 8,To nonprofit organizations,Unnamed: 10,To other subrecipients,Unnamed: 12,All R&D expenditures passed through.1,Unnamed: 14,To educational subrecipients.1,Unnamed: 16,To business.1,Unnamed: 18,To nonprofit organizations.1,Unnamed: 20,To other subrecipients.1,Unnamed: 22
St. Edward's U.,120.0,,120.0,,0.0,,0.0,,0.0,,120.0,,120.0,,0.0,,0.0,,0.0,,,
Texas Christian U.,289.0,,106.0,,6.0,i,3.0,i,174.0,,289.0,,106.0,,6.0,i,3.0,i,174.0,,,
Trinity U.,26.0,,26.0,,0.0,,0.0,,0.0,,25.0,,25.0,,0.0,,0.0,,0.0,,,
U. of the Incarnate Word,5.0,,5.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Wiley C.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Utah,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
U. Utah,27916.0,,19531.0,,3951.0,,4289.0,,145.0,,26604.0,,19305.0,,3741.0,,3558.0,,0.0,,,
Utah State U.,15341.0,,6786.0,,518.0,,350.0,,7687.0,,14303.0,,6642.0,,354.0,,350.0,,6957.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
"Brigham Young U., Provo",3407.0,,2009.0,,144.0,,497.0,,757.0,,2852.0,,1870.0,,86.0,,146.0,,750.0,,,
Vermont,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
U. Vermont,11963.0,,9909.0,,1039.0,,304.0,,711.0,,11918.0,,9889.0,,1029.0,,301.0,,699.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
Middlebury C.,70.0,,70.0,,0.0,,0.0,,0.0,,70.0,,70.0,,0.0,,0.0,,0.0,,,
Norwich U.,25.0,,25.0,,0.0,,0.0,,0.0,,25.0,,25.0,,0.0,,0.0,,0.0,,,
Saint Michael's C.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Virginia,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
C. of William and Mary and Virginia Institute of Marine Science,5207.0,,1771.0,,531.0,,2235.0,,670.0,,4981.0,,1677.0,,445.0,,2189.0,,670.0,,,
Christopher Newport U.,17.0,,17.0,,0.0,,0.0,,0.0,,17.0,,17.0,,0.0,,0.0,,0.0,,,
George Mason U.,12114.0,,2783.0,,4534.0,,623.0,,4174.0,,10913.0,,2606.0,,4072.0,,601.0,,3634.0,,,
James Madison U.,178.0,,125.0,,49.0,,2.0,,2.0,,178.0,,125.0,,49.0,,2.0,,2.0,,,
Norfolk State U.,2.0,,2.0,,0.0,,0.0,,0.0,,2.0,,2.0,,0.0,,0.0,,0.0,,,
Old Dominion U.,8119.0,,1637.0,,912.0,,4711.0,,859.0,,7853.0,,1407.0,,876.0,,4711.0,,859.0,,,
U. of Mary Washington,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
"U. Virginia, Charlottesville",32301.0,,20284.0,,3801.0,,2496.0,,5720.0,,27048.0,,18901.0,,2588.0,,2072.0,,3487.0,,,
Virginia Commonwealth U.,18400.0,,12729.0,,1947.0,,2919.0,,805.0,,16178.0,,11556.0,,1090.0,,2784.0,,748.0,,,
Virginia Polytechnic Institute and State U.,29524.0,,18051.0,,6395.0,,3592.0,,1486.0,,27620.0,,17312.0,,5957.0,,3133.0,,1218.0,,,
Virginia State U.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
Eastern Virginia Medical School,16932.0,,1855.0,,11093.0,,474.0,,3510.0,,13937.0,,1323.0,,8937.0,,337.0,,3340.0,,,
Edward Via C. of Osteopathic Medicine,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Hampton U.,965.0,,820.0,,4.0,,0.0,,141.0,,965.0,,820.0,,4.0,,0.0,,141.0,,,
U. Richmond,613.0,,424.0,,0.0,,0.0,,189.0,,613.0,,424.0,,0.0,,0.0,,189.0,,,
Washington and Lee U.,1.0,,1.0,,0.0,,0.0,,0.0,,1.0,,1.0,,0.0,,0.0,,0.0,,,
Washington,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
Central Washington U.,55.0,,55.0,,0.0,,0.0,,0.0,,55.0,,55.0,,0.0,,0.0,,0.0,,,
Eastern Washington U.,82.0,,63.0,,0.0,,5.0,,14.0,,77.0,,63.0,,0.0,,0.0,,14.0,,,
Northwest Indian C.,302.0,i,302.0,i,0.0,i,0.0,i,0.0,i,302.0,i,302.0,i,0.0,i,0.0,i,0.0,i,,
"U. Washington, Bothell",76.0,,15.0,,0.0,,61.0,,0.0,,76.0,,15.0,,0.0,,61.0,,0.0,,,
"U. Washington, Seattle",122685.0,,62148.0,,8801.0,,39270.0,,12466.0,,109342.0,,58659.0,,8141.0,,32772.0,,9770.0,,,
"U. Washington, Tacoma",281.0,,31.0,,0.0,,141.0,,109.0,,195.0,,0.0,,0.0,,141.0,,54.0,,,
Washington State U.,24047.0,,15185.0,,1773.0,,6647.0,,442.0,,16489.0,,10645.0,,1169.0,,4383.0,,292.0,,,
Western Washington U.,91.0,,91.0,,0.0,,0.0,,0.0,,91.0,,91.0,,0.0,,0.0,,0.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
Bastyr U.,907.0,i,907.0,i,0.0,i,0.0,i,0.0,i,163.0,i,163.0,i,0.0,i,0.0,i,0.0,i,,
Gonzaga U.,16.0,,14.0,,2.0,,0.0,,0.0,,16.0,,14.0,,2.0,,0.0,,0.0,,,
Seattle Pacific U.,13.0,,0.0,,5.0,,8.0,,0.0,,13.0,,0.0,,5.0,,8.0,,0.0,,,
Seattle U.,83.0,,77.0,,0.0,,0.0,,6.0,,83.0,,77.0,,0.0,,0.0,,6.0,,,
West Virginia,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
Marshall U.,2352.0,,2352.0,,0.0,,0.0,,0.0,,2191.0,,2191.0,,0.0,,0.0,,0.0,,,
West Virginia State U.,81.0,,60.0,,0.0,,21.0,,0.0,,81.0,,60.0,,0.0,,21.0,,0.0,,,
West Virginia U.,10398.0,,6258.0,,262.0,,2350.0,,1528.0,,9462.0,,5836.0,,262.0,,2221.0,,1143.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
Wheeling Jesuit U.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Wisconsin,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
U. Wisconsin-Green Bay,0.0,i,0.0,i,0.0,i,0.0,i,0.0,i,0.0,i,0.0,i,0.0,i,0.0,i,0.0,i,,
U. Wisconsin-La Crosse,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
U. Wisconsin-Madison,68187.0,,47398.0,,3642.0,,13746.0,,3401.0,,64122.0,,45261.0,,3502.0,,12404.0,,2955.0,,,
U. Wisconsin-Milwaukee,6203.0,,5343.0,,385.0,,0.0,,475.0,,6041.0,,5196.0,,385.0,,0.0,,460.0,,,
U. Wisconsin-Oshkosh,0.0,i,0.0,i,0.0,i,0.0,i,0.0,i,0.0,i,0.0,i,0.0,i,0.0,i,0.0,i,,
U. Wisconsin-Platteville,25.0,i,18.0,i,2.0,i,4.0,i,1.0,i,23.0,i,16.0,i,2.0,i,4.0,i,1.0,i,,
U. Wisconsin-Stevens Point,888.0,i,3.0,i,339.0,i,231.0,i,315.0,i,567.0,i,3.0,i,242.0,i,93.0,i,229.0,i,,
Private,,,,,,,,,,,,,,,,,,,,,,
Marquette U.,1110.0,,658.0,,0.0,,450.0,,2.0,,1056.0,,633.0,,0.0,,423.0,,0.0,,,
Medical C. Wisconsin,22246.0,,5258.0,,1094.0,,15762.0,,132.0,,21741.0,,5135.0,,1094.0,,15380.0,,132.0,,,
Milwaukee School of Engineering,82.0,,82.0,,0.0,,0.0,,0.0,,75.0,,75.0,,0.0,,0.0,,0.0,,,
Wyoming,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
U. Wyoming,1649.0,,223.0,,0.0,,0.0,,1426.0,,1497.0,,197.0,,0.0,,0.0,,1300.0,,,
American Samoa,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
American Samoa Community C.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Guam,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
U. Guam,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
"U. Puerto Rico, Cayey",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
"U. Puerto Rico, Humacao",174.0,,174.0,,0.0,,0.0,,0.0,,174.0,,174.0,,0.0,,0.0,,0.0,,,
"U. Puerto Rico, Mayaguez",1272.0,,1272.0,,0.0,,0.0,,0.0,,1272.0,,1272.0,,0.0,,0.0,,0.0,,,
"U. Puerto Rico, Medical Sciences Campus",2202.0,,1940.0,,110.0,,88.0,,64.0,,2202.0,,1940.0,,110.0,,88.0,,64.0,,,
"U. Puerto Rico, Rio Piedras",1236.0,,1236.0,,0.0,,0.0,,0.0,,943.0,,943.0,,0.0,,0.0,,0.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
Ponce Health Sciences U.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
U. Central del Caribe,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
U. del Este,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
U. del Turabo,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
U. Metropolitana,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Virgin Islands,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
U. of the Virgin Islands,920.0,,920.0,,0.0,,0.0,,0.0,,920.0,,920.0,,0.0,,0.0,,0.0,,,
