"State, institutional control, and institution",Total,Federally financed,All R&D expenditures received,Unnamed: 4,From educational pass-through entities,Unnamed: 6,From business,Unnamed: 8,From nonprofit organizations,Unnamed: 10,From other pass-through entities,Unnamed: 12,All R&D expenditures received.1,Unnamed: 14,From educational pass-through entities.1,Unnamed: 16,From business.1,Unnamed: 18,From nonprofit organizations.1,Unnamed: 20,From other pass-through entities.1,Unnamed: 22
"U. Texas, Permian Basin",272.0,,30.0,,0.0,,242.0,,0.0,,272.0,,30.0,,0.0,,242.0,,0.0,,,
"U. Texas, San Antonio",3188.0,,1724.0,,1093.0,,101.0,,270.0,,2507.0,,1342.0,,993.0,,0.0,,172.0,,,
"U. Texas, Tyler",2349.0,,70.0,,0.0,,0.0,,2279.0,,2349.0,,70.0,,0.0,,0.0,,2279.0,,,
West Texas A&M U.,14.0,,1.0,,0.0,,0.0,,13.0,,1.0,,1.0,,0.0,,0.0,,0.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
Baylor C. of Medicine,40794.0,,25038.0,,1899.0,,13387.0,,470.0,,33124.0,,22372.0,,1899.0,,8636.0,,217.0,,,
Baylor U.,1521.0,,1030.0,,244.0,,212.0,,35.0,,839.0,,641.0,,2.0,,161.0,,35.0,,,
Rice U.,16778.0,,10869.0,,4436.0,,418.0,,1055.0,,13199.0,,7925.0,,3801.0,,418.0,,1055.0,,,
Southern Methodist U.,6179.0,,2656.0,,1446.0,,872.0,,1205.0,,4943.0,,2588.0,,1433.0,,862.0,,60.0,,,
St. Edward's U.,550.0,,450.0,,0.0,,0.0,,100.0,,550.0,,450.0,,0.0,,0.0,,100.0,,,
Texas Christian U.,1370.0,,1030.0,,42.0,i,66.0,i,232.0,,1370.0,,1030.0,,42.0,i,66.0,i,232.0,,,
Trinity U.,135.0,,135.0,,0.0,,0.0,,0.0,,135.0,,135.0,,0.0,,0.0,,0.0,,,
U. of the Incarnate Word,15.0,,15.0,,0.0,,0.0,,0.0,,15.0,,15.0,,0.0,,0.0,,0.0,,,
Wiley C.,12.0,,12.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Utah,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
U. Utah,35982.0,,19938.0,,7715.0,,7144.0,,1185.0,,31074.0,,18519.0,,6061.0,,6494.0,,0.0,,,
Utah State U.,24292.0,,10918.0,,1083.0,,271.0,,12020.0,,24174.0,,10800.0,,1083.0,,271.0,,12020.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
"Brigham Young U., Provo",7269.0,i,3983.0,i,992.0,i,2123.0,i,171.0,i,6858.0,,3830.0,,913.0,,1988.0,,127.0,,,
Vermont,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
U. Vermont,11674.0,,8931.0,,980.0,,380.0,,1383.0,,9922.0,,7966.0,,821.0,,305.0,,830.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
Middlebury C.,455.0,,455.0,,0.0,,0.0,,0.0,,455.0,,455.0,,0.0,,0.0,,0.0,,,
Norwich U.,998.0,,998.0,,0.0,,0.0,,0.0,,998.0,,998.0,,0.0,,0.0,,0.0,,,
Saint Michael's C.,1124.0,,1124.0,,0.0,,0.0,,0.0,,1124.0,,1124.0,,0.0,,0.0,,0.0,,,
Virginia,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
C. of William and Mary and Virginia Institute of Marine Science,11443.0,,3007.0,,128.0,,2034.0,,6274.0,,10343.0,,2959.0,,88.0,,1480.0,,5816.0,,,
Christopher Newport U.,352.0,,0.0,,212.0,,122.0,,18.0,,260.0,,0.0,,191.0,,66.0,,3.0,,,
George Mason U.,15980.0,,6640.0,,5831.0,,1797.0,,1712.0,,14588.0,,6292.0,,5710.0,,887.0,,1699.0,,,
James Madison U.,649.0,i,229.0,i,3.0,i,69.0,i,348.0,i,632.0,i,223.0,,0.0,i,66.0,,343.0,,,
Norfolk State U.,211.0,,185.0,,0.0,,26.0,,0.0,,211.0,,185.0,,0.0,,26.0,,0.0,,,
Old Dominion U.,7407.0,,2446.0,,782.0,,2606.0,,1573.0,,7182.0,,2253.0,,782.0,,2606.0,,1541.0,,,
U. of Mary Washington,157.0,,140.0,,0.0,,0.0,,17.0,,157.0,,140.0,,0.0,,0.0,,17.0,,,
"U. Virginia, Charlottesville",35144.0,,21473.0,,7049.0,,4722.0,,1900.0,,32128.0,,20193.0,,6878.0,,3157.0,,1900.0,,,
Virginia Commonwealth U.,13382.0,i,8231.0,i,1436.0,i,3037.0,i,678.0,i,11163.0,,7829.0,,804.0,,2280.0,,250.0,,,
Virginia Polytechnic Institute and State U.,41157.0,i,16172.0,i,20803.0,i,1816.0,i,2366.0,i,36498.0,,15327.0,,18607.0,,198.0,,2366.0,,,
Virginia State U.,262.0,,183.0,,0.0,,79.0,,0.0,,262.0,,183.0,,0.0,,79.0,,0.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
Eastern Virginia Medical School,3016.0,,1847.0,,354.0,,706.0,,109.0,,2235.0,,1544.0,,31.0,,660.0,,0.0,,,
Edward Via C. of Osteopathic Medicine,79.0,,54.0,,25.0,,0.0,,0.0,,37.0,,12.0,,25.0,,0.0,,0.0,,,
Hampton U.,836.0,,836.0,,0.0,,0.0,,0.0,,836.0,,836.0,,0.0,,0.0,,0.0,,,
U. Richmond,328.0,,130.0,,0.0,,198.0,,0.0,,302.0,,130.0,,0.0,,172.0,,0.0,,,
Washington and Lee U.,34.0,,34.0,,0.0,,0.0,,0.0,,28.0,,28.0,,0.0,,0.0,,0.0,,,
Washington,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
Central Washington U.,228.0,,80.0,,124.0,,19.0,,5.0,,228.0,,80.0,,124.0,,19.0,,5.0,,,
Eastern Washington U.,126.0,,20.0,,0.0,,0.0,,106.0,,126.0,,20.0,,0.0,,0.0,,106.0,,,
Northwest Indian C.,134.0,i,91.0,i,0.0,i,43.0,i,0.0,i,134.0,i,91.0,i,0.0,i,43.0,i,0.0,i,,
"U. Washington, Bothell",279.0,,77.0,,60.0,,106.0,,36.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
"U. Washington, Seattle",170787.0,,62640.0,,8463.0,,80193.0,,19491.0,,156244.0,,59075.0,,7822.0,,73406.0,,15941.0,,,
"U. Washington, Tacoma",310.0,,159.0,,1.0,,0.0,,150.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Washington State U.,16864.0,,9238.0,,2739.0,,2497.0,,2390.0,,15037.0,,8828.0,,2394.0,,1594.0,,2221.0,,,
Western Washington U.,962.0,i,360.0,i,2.0,i,267.0,i,333.0,i,798.0,,211.0,,0.0,,261.0,,326.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
Bastyr U.,0.0,i,0.0,i,0.0,i,0.0,i,0.0,i,0.0,i,0.0,i,0.0,i,0.0,i,0.0,i,,
Gonzaga U.,91.0,,41.0,,0.0,,0.0,,50.0,,91.0,,41.0,,0.0,,0.0,,50.0,,,
Seattle Pacific U.,96.0,,96.0,,0.0,,0.0,,0.0,,96.0,,96.0,,0.0,,0.0,,0.0,,,
Seattle U.,138.0,,138.0,,0.0,,0.0,,0.0,,138.0,,138.0,,0.0,,0.0,,0.0,,,
West Virginia,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
Marshall U.,3139.0,,2319.0,,269.0,,0.0,,551.0,,3139.0,,2319.0,,269.0,,0.0,,551.0,,,
West Virginia State U.,1059.0,,252.0,,0.0,,0.0,,807.0,,979.0,,252.0,,0.0,,0.0,,727.0,,,
West Virginia U.,19533.0,i,5835.0,i,5524.0,i,1951.0,i,6223.0,i,17644.0,,5326.0,,4977.0,,1567.0,,5774.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
Wheeling Jesuit U.,116.0,,116.0,,0.0,,0.0,,0.0,,17.0,,17.0,,0.0,,0.0,,0.0,,,
Wisconsin,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
U. Wisconsin-Green Bay,45.0,i,2.0,i,15.0,i,11.0,i,17.0,i,40.0,i,2.0,i,14.0,i,9.0,i,15.0,i,,
U. Wisconsin-La Crosse,136.0,,112.0,,24.0,,0.0,,0.0,,131.0,,112.0,,19.0,,0.0,,0.0,,,
U. Wisconsin-Madison,83524.0,,37938.0,,7722.0,,13281.0,,24583.0,,76926.0,,35055.0,,7279.0,,10361.0,,24231.0,,,
U. Wisconsin-Milwaukee,4022.0,,1854.0,,714.0,,593.0,,861.0,,3250.0,,1676.0,,488.0,,409.0,,677.0,,,
U. Wisconsin-Oshkosh,282.0,i,137.0,i,0.0,i,0.0,i,145.0,i,282.0,i,137.0,i,0.0,i,0.0,i,145.0,i,,
U. Wisconsin-Platteville,51.0,i,29.0,i,3.0,i,6.0,i,13.0,i,43.0,i,25.0,i,2.0,i,5.0,i,11.0,i,,
U. Wisconsin-Stevens Point,439.0,i,67.0,i,133.0,i,96.0,i,143.0,i,386.0,i,67.0,i,125.0,i,76.0,i,118.0,i,,
Private,,,,,,,,,,,,,,,,,,,,,,
Marquette U.,1996.0,,1631.0,,86.0,,224.0,,55.0,,1996.0,,1631.0,,86.0,,224.0,,55.0,,,
Medical C. Wisconsin,11577.0,,7728.0,,703.0,,2962.0,,184.0,,10576.0,,7072.0,,703.0,,2778.0,,23.0,,,
Milwaukee School of Engineering,448.0,,435.0,,13.0,,0.0,,0.0,,440.0,,427.0,,13.0,,0.0,,0.0,,,
Wyoming,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
U. Wyoming,24594.0,,4205.0,,2525.0,,780.0,,17084.0,,18371.0,,3030.0,,532.0,,148.0,,14661.0,,,
American Samoa,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
American Samoa Community C.,392.0,,392.0,,0.0,,0.0,,0.0,,392.0,,392.0,,0.0,,0.0,,0.0,,,
Guam,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
U. Guam,781.0,,91.0,,0.0,,0.0,,690.0,,781.0,,91.0,,0.0,,0.0,,690.0,,,
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
"U. Puerto Rico, Cayey",60.0,,60.0,,0.0,,0.0,,0.0,,60.0,,60.0,,0.0,,0.0,,0.0,,,
"U. Puerto Rico, Humacao",145.0,,145.0,,0.0,,0.0,,0.0,,145.0,,145.0,,0.0,,0.0,,0.0,,,
"U. Puerto Rico, Mayaguez",3032.0,,392.0,,1572.0,,932.0,,136.0,,392.0,,392.0,,0.0,,0.0,,0.0,,,
"U. Puerto Rico, Medical Sciences Campus",7290.0,i,4564.0,i,1773.0,i,901.0,i,52.0,i,7132.0,,4511.0,,1747.0,,874.0,,0.0,,,
"U. Puerto Rico, Rio Piedras",1201.0,,1201.0,,0.0,,0.0,,0.0,,1201.0,,1201.0,,0.0,,0.0,,0.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
Ponce Health Sciences U.,385.0,,385.0,,0.0,,0.0,,0.0,,385.0,,385.0,,0.0,,0.0,,0.0,,,
U. Central del Caribe,1196.0,,979.0,,0.0,,0.0,,217.0,,1149.0,,979.0,,0.0,,0.0,,170.0,,,
U. del Este,43.0,,43.0,,0.0,,0.0,,0.0,,43.0,,43.0,,0.0,,0.0,,0.0,,,
U. del Turabo,89.0,,89.0,,0.0,,0.0,,0.0,,89.0,,89.0,,0.0,,0.0,,0.0,,,
U. Metropolitana,4589.0,,1627.0,,0.0,,2962.0,,0.0,,4589.0,,1627.0,,0.0,,2962.0,,0.0,,,
Virgin Islands,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
U. of the Virgin Islands,745.0,i,627.0,i,0.0,i,0.0,i,118.0,i,437.0,,437.0,,0.0,,0.0,,0.0,,,
